Country,Capital,Currency,Official lang,HOG,Population,Flags
Poland,Warsaw,Zloty,Polish,Prime Minister – Mateusz Morawiecki,37854825,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/poland.gif
Portugal,Lisbon,Euro (formerly escudo),Portuguese,Prime Minister – António Costa,10202571,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/portugal.gif
Qatar,Doha,Qatari riyal,Arabic,"Prime Minister – Sheikh Abdullah bin Nasser bin
Khalifa Al Thani",2870922,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/qatar.gif?versionId=_Vor6UWg3Rws_tJGyDnEh8vBBc.Z0LyN
Republic of the Congo,Brazzaville,CFA Franc,French,Prime Minister –Clément Mouamba,89331385,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/republic_of_the_congo.gif
Romania,Bucharest,Romanian Rupee,Romanian,Prime Minister – Viorica D?ncil?,19262731,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/romania.gif
Russia,Moscow,Ruble,Romanian,Prime Minister – Dmitry Medvedev,1.46E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/russia.gif
Rwanda,Kigali,Rwandan franc,Russian,Prime Minister – Édouard Ngirente,12883878,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/rwanda.gif
Saint Kitts and Nevis,Basseterre,East Caribbean dollar,English,Prime Minister – Timothy Harris,52441,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/saint_kitts_and_nevis.gif
Saint Lucia,Castries,East Caribbean dollar,English,Prime Minister – Allen Chastanet,183458,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/saint_lucia.gif
Saint Vincent and the Grenadines,Kingstown,East Caribbean dollar,English,Prime Minister – Ralph Gonsalves,110195,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/saint_vincent_and_the_grenadines.gif
Samoa,Apia,Tala,"Samoan, English",Prime Minister – Tuilaepa Aiono Sailele Malielegaoi,198147,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/samoa.gif
San Marino,San Marino,Euro,Italian,Pasquale Valentini,33917,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/san_marino.gif
Sao Tome and Principe,Sao Tome,Dobra,Portuguese,Prime Minister – Jorge Bom Jesus,"2,18,832",https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/sao_tome_and_principe.gif
Saudi Arabia,Riyadh,Riyal,Arabic,King and Prime Minister – Salman of Saudi Arabia,34701377,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/saudi_arabia.gif
Senegal,Dakar,CFA Franc,French,Prime Minister – Mohammed Dionne,16649599,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/senegal.gif
The Bahamas,Nassau,Bahamian dollar,English,Prime Minister – Hubert Minnis,392477,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/bahamas.gif?versionId=ck_UUVqyGEL8BiWjs3nCM_F_ow4ZA7FO
The Gambia,Banjul,Dalasi,English,President – Adama Barrow,2402083,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/gambia.gif?versionId=MNHq5ub.vsTrEH3urSb8iIGKJTAkX39F
Tonga,Nuku'alofa,Pa'anga,English,Prime Minister – Pohiva Tuionetoa,105449,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/gambia.gif?versionId=MNHq5ub.vsTrEH3urSb8iIGKJTAkX39F
Trinidad and Tobago,Port-of-Spain,Trinidad and Tobago dollar,English,Prime Minister – Keith Rowley,1398579,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/trinidad_and_tobago.gif?versionId=2dbKBeIzzh61T9iw9m4Gjs2HdFATkeDU
Tunisia,Tunis,Tunisian dinar,Arabic,Prime Minister-Youssef Chahed,11793319,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/tunisia.gif?versionId=991QlGFzcW60vg5fMucC5zUY6NIygTLv
Turkey,Ankara,Turkish lira (YTL),Turkish,Prime Minister – Binali Y?ld?r?m,84153250,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/turkey.gif?versionId=rhIYPatqyd1kGM89GwZqhs_oP8h59dUS
Turkmenistan,Ashgabat,Manat,Turkmen,President – Gurbanguly Berdimuhamedow,6012850,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/turkmenistan.gif?versionId=Aht5dNIEHbDN0HGQvF84.R1j3L6DRzxe
